Pixel,Value,Minima,,,,,,,,
51.2,43712,,,,,,,,,
51.3,43712,,,,,,,,,
51.4,43712,,,,,,,,,
51.5,43712,,,,,,,,,
51.6,44928,,,,,,,,,
51.7,44928,,,,,,,,,
51.8,44928,,,,,,,,,
51.9,44928,,,,,,,,,
52,44928,,,,,,,,,
52.1,44928,,,,,,,,,
52.2,44928,,,,,,,,,
52.3,44928,,,,,,,,,
52.4,44928,,,,,,,,,
52.5,44928,,,,,,,,,
52.6,43584,,,,,,,,,
52.7,43584,,,,,,,,,
52.8,43584,,,,,,,,,
52.9,43584,,,,,,,,,
53,43584,,,,,,,,,
53.1,43584,,,,,,,,,
53.2,43584,,,,,,,,,
53.3,43584,,,,,,,,,
53.4,43584,,,,,,,,,
53.5,43584,,,,,,,,,
53.6,44672,,,,,,,,,
53.7,44672,,,,,,,,,
53.8,44672,,,,,,,,,
53.9,44672,,,,,,,,,
54,44672,,,,,,,,,
54.1,44672,,,,,,,,,
54.2,44672,,,,,,,,,
54.3,44672,,,,,,,,,
54.4,44672,,,,,,,,,
54.5,44672,,,,,,,,,
54.6,45440,,,,,,,,,
54.7,45440,,,,,,,,,
54.8,45440,,,,,,,,,
54.9,45440,,,,,,,,,
55,45440,,,,,,,,,
55.1,45440,,,,,,,,,
55.2,45440,,,,,,,,,
55.3,45440,,,,,,,,,
55.4,45440,,,,,,,,,
55.5,45440,,,,,,,,,
55.6,44480,,,,,,,,,
55.7,44480,,,,,,,,,
55.8,44480,,,,,,,,,
55.9,44480,,,,,,,,,
56,44480,,,,,,,,,
56.1,44480,,,,,,,,,
56.2,44480,,,,,,,,,
56.3,44480,,,,,,,,,
56.4,44480,,,,,,,,,
56.5,44480,,,,,,,,,
56.6,45376,,,,,,,,,
56.7,45376,,,,,,,,,
56.8,45376,,,,,,,,,
56.9,45376,,,,,,,,,
57,45376,,,,,,,,,
57.1,45376,,,,,,,,,
57.2,45376,,,,,,,,,
57.3,45376,,,,,,,,,
57.4,45376,,,,,,,,,
57.5,45376,,,,,,,,,
57.6,44096,,,,,,,,,
57.7,44096,,,,,,,,,
57.8,44096,,,,,,,,,
57.9,44096,,,,,,,,,
58,44096,,,,,,,,,
58.1,44096,,,,,,,,,
58.2,44096,,,,,,,,,
58.3,44096,,,,,,,,,
58.4,44096,,,,,,,,,
58.5,44096,,,,,,,,,
58.6,44032,,,,,,,,,
58.7,44032,,,,,,,,,
58.8,44032,,,,,,,,,
58.9,44032,,,,,,,,,
59,44032,,,,,,,,,
59.1,44032,,,,,,,,,
59.2,44032,,,,,,,,,
59.3,44032,,,,,,,,,
59.4,44032,,,,,,,,,
59.5,44032,,,,,,,,,
59.6,44352,,,,,,,,,
59.7,44352,,,,,,,,,
59.8,44352,,,,,,,,,
59.9,44352,,,,,,,,,
60,44352,,,,,,,,,
60.1,44352,,,,,,,,,
60.2,44352,,,,,,,,,
60.3,44352,,,,,,,,,
60.4,44352,,,,,,,,,
60.5,44352,,,,,,,,,
60.6,44864,,,,,,,,,
60.7,44864,,,,,,,,,
60.8,44864,,,,,,,,,
